STATEMENT,SUPPORTING DOC 1,SUPPORTING DOC 2,SUPPORTING DOC 3,JUDGEMENT,CONFIDENCE,DERIVATION STEP1,SUPPORTING SENT. FOR STEP1,DERIVATION STEP2,SUPPORTING SENT. FOR STEP2,DERIVATION STEP3,SUPPORTING SENT. FOR STEP3,SCORE,WikiHop ID
Manuel mendes is a citizen of Portugal,"Manuel Mendes ( or Manoel Mendes ; c. 1547 -- 24 September 1605 ) was a Portuguese composer and teacher of the Renaissance . While his music remains obscure , he was important as the teacher of several of the composers of the golden age of Portuguese polyphony , including Duarte Lobo and Manuel Cardoso . He was born in Lisbon , and studied music with Cosme Delgado in Évora as a youth . Later he was appointed mestre de capela at the cathedral in Portalegre , but returned to Évora to receive a bachelor 's degree in 1575 . In 1575 he became a priest and teacher of the choirboys in the cathedral . His students included some of the most famous Portuguese composers of the early 17th century , such as Duarte Lobo , Manuel Cardoso , Filipe de Magalhães and Manuel Rebelo . See : List of music students by teacher : K to M # Manuel Mendes . He died at Évora . While Mendes was evidently a prolific composer , his works are only extant in manuscript . He was famous in the 16th century , and his music traveled to Spain as well as Mexico , where he was highly regarded .","Duarte Lobo (ca. 1565 – 24 September 1646; Latinized as 'Eduardus Lupus') was a Portuguese composer of the late Renaissance and early Baroque. He was one of the most famous Portuguese composers of the time, together with Filipe de Magalhães, Manuel Cardoso, composers who all began their academic studies as students of Manuel Mendes. Along with John IV, King of Portugal, they represent the 'golden age' of Portuguese polyphony.",,TRUE,verycf,Manuel Mendes was a Portuguese composer,Manuel Mendes ( or Manoel Mendes ; c. 1547 -- 24 September 1605 ) was a Portuguese composer and teacher of the Renaissance .,,NA,,,1377,WH_train_9492
Minehunter is a subclass of Naval ship,"A minehunter is a naval vessel that actively detects and destroys individual naval mines . Minesweepers , on the other hand , clear mined areas as a whole , without prior detection of mines . A vessel that combines both of these roles is known as a mine countermeasures vessel ( MCMV ) .",A mine countermeasures vessel or MCMV is a type of naval ship designed for the location of and destruction of naval mines which combines the role of a minesweeper and minehunter in one hull. The term MCMV is also applied collectively to minehunters and minesweepers.,,TRUE,verycf,mine countermeasures vessel consists of minesweeper and minehunter,A vessel that combines both of these roles is known as a mine countermeasures vessel ( MCMV ) .,mine countermeasures vessel is a type of naval ship,A mine countermeasures vessel or MCMV is a type of naval ship designed for the location of and destruction of naval mines which combines the role of a minesweeper and minehunter in one hull.,,,1324,WH_train_19586
Amblydectes belongs to Ornithocheiridae,"Amblydectes is known from fragments of jaw . It apparently had a jaw flattened towards the tip and triangular in cross-section . It has at times been synonymised with Coloborhynchus , Criorhynchus , Lonchodectes , or Ornithocheirus . A 2013 study found A. crassidens and A. eurygnathus to be nomina dubia , with A. platystomus possibly belonging to a separate , yet unnamed genus .","Coloborhynchus is a genus in the pterosaur family Ornithocheiridae, and is known from the Lower Cretaceous of England (Valanginian age, 140-136 million years ago), and depending on which species are included, possibly the Albian age (113-100.5 million years ago) as well.",,likely,verycf,Amblydectes was synonymised with Coloborhynchus,"It has at times been synonymised with Coloborhynchus , Criorhynchus , Lonchodectes , or Ornithocheirus .",Coloborhynchus is a genus in the pterosaur family Ornithocheiridae,"Coloborhynchus is a genus in the pterosaur family Ornithocheiridae, and is known from the Lower Cretaceous of England (Valanginian age, 140-136 million years ago), and depending on which species are included, possibly the Albian age (113-100.5 million years ago) as well.",,,1330,WH_train_26903
A genre of Stablemates is Drama film,Stablemates is a 1938 film starring Wallace Beery and Mickey Rooney . The movie was directed by Sam Wood .,"Wallace Fitzgerald Beery (April 1, 1885 – April 15, 1949) was an American film actor. He is best known for his portrayal of Bill in 'Min and Bill' opposite Marie Dressler, as Long John Silver in 'Treasure Island', as Pancho Villa in 'Viva Villa!', and his titular role in 'The Champ', for which he won the Academy Award for Best Actor. Beery appeared in some 250 movies during a 36-year career. His contract with Metro-Goldwyn-Mayer stipulated in 1932 that he be paid $1 more than any other contract player at the studio, making him the highest paid actor in the world. He was the brother of actor Noah Beery Sr. and uncle of actor Noah Beery Jr.","Min and Bill is a 1930 American Pre-Code comedy-drama film starring Marie Dressler and Wallace Beery and based on Lorna Moon's novel 'Dark Star', adapted by Frances Marion and Marion Jackson. The film tells the story of dockside innkeeper Min's tribulations as she tries to protect the innocence of her adopted daughter Nancy, all while loving and fighting with boozy fisherman Bill, who resides at the inn.",TRUE,verycf,Stablemates is a 1938 film starring Wallace,Stablemates is a 1938 film starring Wallace Beery and Mickey Rooney .,Wallace was an American film actor.,"Wallace Fitzgerald Beery (April 1, 1885 – April 15, 1949) was an American film actor.",American Pre-Code comedy-drama film starring Wallace Beery,"Min and Bill is a 1930 American Pre-Code comedy-drama film starring Marie Dressler and Wallace Beery and based on Lorna Moon's novel 'Dark Star', adapted by Frances Marion and Marion Jackson.",1363,WH_train_4838
Sergey malyutin died in 6 december 1937,"Sergey Vasilyevich Malyutin ( Russian : Серге́й Васильевич Малютин ) ( 1859 -- 1937 ) was a Russian painter , architect and stage designer . He is credited with designing and painting the first Russian matryoshka doll ( carved by craftsman Vasily Zvyozdochkin ) in 1890 .","Vasily Petrovich Zvyozdochkin (1876–1956) was a Russian turning craftsman, wood carver and doll maker. He is credited with making the first Russian matryoshka doll (painted by Sergey Malyutin) in 1890.","Sergey Vasilyevich Malyutin (4 October 1859 - 6 December 1937) was a Russian painter, designer, illustrator and architect; initially associated with the Arts and Crafts Movement. Most of his oil paintings are portraits. Outside of Russia, he is perhaps best known for designing the first set of Matryoshka dolls, created by Vasily Zvyozdochkin in 1890.",TRUE,bet,Sergey Malyutin ( 1859 -- 1937 ) was a Russian painter.,"Sergey Vasilyevich Malyutin ( Russian : Серге́й Васильевич Малютин ) ( 1859 -- 1937 ) was a Russian painter , architect and stage designer .",NA,NA,Sergey Malyutin (4 October 1859 - 6 December 1937) was a Russian painter.,"Sergey Vasilyevich Malyutin (4 October 1859 - 6 December 1937) was a Russian painter, designer, illustrator and architect; initially associated with the Arts and Crafts Movement.",1305,WH_train_31193
Prebends bridge is located in County durham,"Prebends Bridge , along with Framwellgate and Elvet , is one of three stone - arch bridges in the centre of Durham , England , that cross the River Wear .","The River Wear in North East England rises in the Pennines and flows eastwards, mostly through County Durham to the North Sea in the City of Sunderland. At long, it is one of the region's longest rivers, wends in a steep valley through the cathedral city of Durham and gives its name to Weardale in its upper reach and Wearside by its mouth.",,TRUE,cf,Prebends Bridge  in the centre of Durham.,"Prebends Bridge , along with Framwellgate and Elvet , is one of three stone - arch bridges in the centre of Durham , England , that cross the River Wear .",,NA,,,1371,WH_train_14441
Benny lautrup's occupation is Physicist,"Benny Lautrup ( born June 25 , 1939 ) is a professor in theoretical physics at the Niels Bohr Institute at the University of Copenhagen . He has during his career worked at Nordic Institute for Theoretical Physics ( Denmark ) , Brookhaven National Laboratory ( USA ) , CERN ( Switzerland ) , og Institut des Hautes Études Scientifiques ( France ) . He is known for his part in the Nakanishi - Lautrup formalism , a concept in relativistic quantum field theory . He has published the books Neural Networks -- Computers with Intuition with Søren Brunak ( original in Danish and also translated into German ) , and Physics of Continuous Matter : Exotic and Everyday Phenomena in the macroscopic World in 2005 , and a second edition of this book was published in 2011 . He also writes popular articles about physics and participates in the public debate in Denmark ( list of articles ) .","The Niels Bohr Institute (Danish: Niels Bohr Institutet) is a research institute of the University of Copenhagen. The research of the institute spans astronomy, geophysics, nanotechnology, particle physics, quantum mechanics and biophysics.","Niels Henrik David Bohr (7 October 1885 – 18 November 1962) was a Danish physicist who made foundational contributions to understanding atomic structure and quantum theory, for which he received the Nobel Prize in Physics in 1922. Bohr was also a philosopher and a promoter of scientific research.",TRUE,verycf,Benny Lautrup is a professor in theoretical physics.,"Benny Lautrup ( born June 25 , 1939 ) is a professor in theoretical physics at the Niels Bohr Institute at the University of Copenhagen .",NA,NA,,NA,1332,WH_train_16568
Ferdi vierklau is born in De bilt,"Ferdinand ' Ferdi ' Rudols Marcel Vierklau ( born 1 April 1973 in Bilthoven , Utrecht ) is a Dutch retired footballer who played as a right back .","Bilthoven is a village in the Dutch province of Utrecht. It is a part of the municipality of De Bilt. It has a railway station with connections to Utrecht, Amersfoort and Baarn. It is home to the Netherlands National Institute for Public Health and the Environment, RIVM; and to the Union Mundial pro Interlingua, UMI, which promotes Interlingua internationally.",,TRUE,cf,Ferdi vierklau was born in Bilthoven,"Ferdinand ' Ferdi ' Rudols Marcel Vierklau ( born 1 April 1973 in Bilthoven , Utrecht ) is a Dutch retired footballer who played as a right back .",Bilthoven comes under De Bilt,It is a part of the municipality of De Bilt.,,,1402,WH_train_34337
Franz krommer is a movement of Classical period,"František Krommer ( Czech : František Vincenc Kramář ; 27 November 1759 in Kamenice u Jihlavy -- 8 January 1831 in Vienna ) was a Czech composer of classical music , whose 71 - year life span began half a year after the death of George Frideric Handel and ended nearly four years after that of Ludwig van Beethoven .","George Frideric (or Frederick) Handel (born , ; 23 February 1685 (O.S.) [(N.S.) 5 March] – 14 April 1759) was a German, later British baroque composer who spent the bulk of his career in London, becoming well known for his operas, oratorios, anthems, and organ concertos. Handel received important training in Halle and worked as a composer in Hamburg and Italy before settling in London in 1712; he became a naturalised British subject in 1727. He was strongly influenced both by the great composers of the Italian Baroque and by the middle-German polyphonic choral tradition.","An organ concerto is a piece of music, an instrumental concerto for a pipe organ soloist with an orchestra. The form first evolves in the 18th century, when composers including Antonio Vivaldi, Johann Sebastian Bach and George Frideric Handel wrote organ concertos with small orchestras, and with solo parts which rarely call for the organ pedal board. During the Classical period organ concerto became popular in many places, especially in Bavaria, Austria and Bohemia (whether called there a concerto, pastorella, or sonata), reaching a position of being almost an integral part of the church music tradition of 'jubilus' character. From the Romantic era fewer works are known. Finally, there are some 20th- and 21st-century examples, of which the concerto by Francis Poulenc has entered the basic repertoire, and is quite frequently played.",TRUE,cf,"franz krommer was a Czech composer of classical music , whose 71 - year life span began half a year after the death of George Frideric Handel","František Krommer ( Czech : František Vincenc Kramář ; 27 November 1759 in Kamenice u Jihlavy -- 8 January 1831 in Vienna ) was a Czech composer of classical music , whose 71 - year life span began half a year after the death of George Frideric Handel and ended nearly four years after that of Ludwig van Beethoven .","George Frideric Handel (born , ; 23 February 1685 (O.S.)","George Frideric (or Frederick) Handel (born , ; 23 February 1685 (O.S.)","During the Classical period organ concerto became popular in many places, especially in Bavaria","During the Classical period organ concerto became popular in many places, especially in Bavaria, Austria and Bohemia (whether called there a concerto, pastorella, or sonata), reaching a position of being almost an integral part of the church music tradition of 'jubilus' character.",1208,WH_train_31905
Lucius cassius hemina is a citizen of Roman empire,"Lucius Cassius Hemina , Roman annalist , composed his annals in the period between the death of Terence and the revolution of the Gracchi . He wrote in Latin around 146 BC , including the earliest chronicle concerning the career of Mucius Scaevola . The fragments of his works have been edited by Peter in Historicorum Romanorum Fragmenta , and more recently in a separate edition with commentary by Carlo Santini in I Frammenti di L. Cassio Emina : Introduzione , Testo , Traduzione e Commento ( Testi e Studi di Cultura Classica , 13 ) , Pisa : Edizioni ETS , 1995 , ISBN 88 - 7741 - 850 - 8 .","Publius Terentius Afer (c. 195/185 – c. 159? BC), better known in English as Terence, was a Roman playwright during the Roman Republic, of Berber descent. His comedies were performed for the first time around 170–160 BC. Terentius Lucanus, a Roman senator, brought Terence to Rome as a slave, educated him and later on, impressed by his abilities, freed him. Terence apparently died young, probably in Greece or on his way back to Rome. All of the six plays Terence wrote have survived.","The Roman Republic was the era of ancient Roman civilization beginning with the overthrow of the Roman Kingdom, traditionally dated to 509 BC, and ending in 27 BC with the establishment of the Roman Empire. It was during this period that Rome's control expanded from the city's immediate surroundings to hegemony over the entire Mediterranean world.",TRUE,verycf,"Lucius Cassius Hemina , Roman annalist","Lucius Cassius Hemina , Roman annalist , composed his annals in the period between the death of Terence and the revolution of the Gracchi .",NA,NA,,NA,1374,WH_train_13228
Wolffia belongs to Araceae,"Wolffia is a genus of 9 to 11 species which include the smallest flowering plants on Earth . Commonly called watermeal or duckweed , these aquatic plants resemble specks of cornmeal floating on the water . Wolffia species are free - floating thalli , green or yellow - green , and without roots . The flower is produced in a depression on the top surface of the plant body . It has one stamen and one pistil . Individuals often float together in pairs or form floating mats with related plants , such as Lemna and Spirodela species . Most species have a very wide distribution across several continents . Wolffia species are composed of about 40 percent protein , about the same as the soybean , making them a potential high - protein human food source . They have historically been collected from the water and eaten as a vegetable in much of Asia .","Spirodela is a genus of aquatic plant, one of several genera containing plants commonly called duckweed. 'Spirodela' species are members of the Araceae under the APG II system. They were formerly members of the Lemnaceae.",,likely,verycf,Wolffia is a type of plant commonly called Duckweed it has characteristics of Lemna and Spirodela species .,"Individuals often float together in pairs or form floating mats with related plants , such as Lemna and Spirodela species .",Spirodelas are part of the Araceae genus.,'Spirodela' species are members of the Araceae under the APG II system.,,,1278,WH_train_32433
Roman catholic diocese of derry is located in Northern ireland,"The Diocese of Derry ( Irish : Deoise Dhoire ) is a diocese in the north of Ireland . It is in the ecclesiastical province of Armagh . The diocese was established in the year 1158.The diocese consists of almost fifty parishes and some number of religious congregations have houses in various parts of the diocese . The Cathedral Church of the diocese is St Eugene 's Cathedral . Nearby is St Columba 's Church , Long Tower . Schools in the diocese include : St Joseph 's Boys ' School , Thornhill College , St Columb 's College , Lumen Christi College .","Ireland (Ulster-Scots: ) is an island in the North Atlantic. It is separated from Great Britain to its east by the North Channel, the Irish Sea, and St George's Channel. Ireland is the second-largest island of the British Isles, the third-largest in Europe, and the twentieth-largest on Earth.","The British Isles are a group of islands off the north-western coast of continental Europe that consist of the islands of Great Britain, Ireland and over six thousand smaller isles. Situated in the North Atlantic, the islands have a total area of approximately 315,159 km, and a combined population of just under 70 million. Two sovereign states are located on the islands: Ireland (which covers roughly five-sixths of the island with the same name) and the United Kingdom of Great Britain and Northern Ireland. The British Isles also include three Crown Dependencies: the Isle of Man and, by tradition, the Bailiwick of Jersey and the Bailiwick of Guernsey in the Channel Islands, although the latter are not physically a part of the archipelago.",TRUE,verycf,The Roman Catholic Diocese of Derry is in northern Ireland .,The Diocese of Derry ( Irish : Deoise Dhoire ) is a diocese in the north of Ireland .,NA,NA,,NA,1308,WH_train_8872
Psathyrella belongs to Coprinaceae,"Psathyrella is a large genus of about 400 fungi , and is similar to the genera Coprinellus , Coprinopsis , Coprinus and Panaeolus , usually with a thin cap and white or yellowish white hollow stem . The caps do not self digest as do those of Coprinellus and Coprinopsis . Some also have brown spores rather than black . These fungi are often drab - colored , difficult to identify , and inedible , and so they are sometimes considered uninteresting . However they are quite common and can occur at times when there are few other mushrooms to be seen . The first report of a gilled mushroom fruiting underwater is Psathyrella aquatica . The genus name Psathyrella is a diminutive form of Psathyra , derived from the Greek word meaning `` friable '' , psathuros ( ψαθυρος )","Coprinopsis is a genus of mushrooms in the family Psathyrellaceae. 'Coprinopsis' was split out of the genus 'Coprinus' based on molecular data. The species 'Coprinopsis cinerea' (='Coprinus cinereus') is a model organism for mushroom-forming basidiomycota, and its genome has recently been sequenced completely.","The Psathyrellaceae are a family of dark-spored agarics that generally have rather soft, fragile fruiting bodies, and are characterized by black, dark brown, rarely reddish, or even pastel-colored spore prints. About 50% of species produce fruiting bodies that dissolve into ink-like ooze when the spores are mature via autodigestion. Prior to phylogenetic research based upon DNA comparisons, most of the species that autodigested were classified as Coprinaceae, which contained all of the inky-cap mushrooms. However, the type species of 'Coprinus', 'Coprinus comatus', and a few other species, were found to be more closely related to Agaricaceae. The former genus 'Coprinus' was split between two families, and the name 'Coprinaceae' became a synonym of Agaricaceae in its 21st-century phylogenetic redefinition. Note that in the 19th and early 20th centuries the family name Agaricaceae had far broader application, while in the late 20th century it had a narrower application. The family name Psathyrellaceae is based on the former Coprinaceae subfamily name Psathyrelloideae. The type genus 'Psathyrella' consists of species that produce fruiting bodies which do not liquify via autodigestion. 'Psathyrella' remained a polyphyletic genus until it was split into several genera including 3 new ones in 2015. 'Lacrymaria' is another genus that does not autodigest its fruiting bodies. It is characterized by rough basidiospores and lamellar edges that exude beads of clear liquid when in prime condition, hence the Latin reference, 'lacryma' (tears).",TRUE,verycf,Psathyrella is a genus of fungi which similar to the genera Coprinellus,"Psathyrella is a large genus of about 400 fungi , and is similar to the genera Coprinellus , Coprinopsis , Coprinus and Panaeolus , usually with a thin cap and white or yellowish white hollow stem .",NA,NA,,NA,1275,WH_train_34120
"Stephen, duke of slavonia is a citizen of Hungary","Stephen , Duke of Slavonia ( 26 December 1332 -- 9 August 1354 ) , was a Hungarian prince of the Capetian House of Anjou who served as governor of the provinces of Transylvania , Slavonia , Dalmatia and Croatia during the reign of his brother , King Louis I.","Transylvania (Romanian: 'Transilvania' or 'Ardeal', Hungarian: 'Erdély', German: 'Siebenbürgen' or 'Transsilvanien', Latin: 'Transsilvania', see Historical Names in other Languages) is a historical region located in what is today the central part of Romania. Bound on the east and south by its natural borders, the Carpathian mountain range, historical Transylvania extended westward to the Apuseni Mountains. The term sometimes encompasses not only Transylvania proper, but also the historical regions of Crișana, Maramureș, and the Romanian part of Banat.","Romania is a sovereign state located in Southeastern Europe. It borders the Black Sea, Bulgaria, Ukraine, Hungary, Serbia, and Moldova. It has an area of and a temperate-continental climate. With 19.94 million inhabitants, the country is the seventh-most-populous member state of the European Union. The capital and largest city, Bucharest, with its 1,883,425 inhabitants is the sixth-largest city in the EU.",TRUE,verycf,"stephen, duke of slavonia was a Hungarian","Stephen , Duke of Slavonia ( 26 December 1332 -- 9 August 1354 ) , was a Hungarian prince of the Capetian House of Anjou who served as governor of the provinces of Transylvania , Slavonia , Dalmatia and Croatia during the reign of his brother , King Louis I.",NA,NA,,NA,1365,WH_train_5492
"Havelter molen, havelte is located in Westerveld","The Havelter Molen is a smock mill at Havelte , Drenthe , the Netherlands which was built in 1914 and has been restored to working order . The mill is listed as a Rijksmonument , number 21029 .","Havelte is a village in the northeastern Netherlands. It is located in the municipality of Westerveld, Drenthe, about 60 km south-southwest of Groningen and 120 km northeast of Amsterdam.",,TRUE,bet,"havelter molen, havelte is a mill in Havelte","The Havelter Molen is a smock mill at Havelte , Drenthe , the Netherlands which was built in 1914 and has been restored to working order .",Havelte is located in Westerveld,"It is located in the municipality of Westerveld, Drenthe, about 60 km south-southwest of Groningen and 120 km northeast of Amsterdam.",,,1386,WH_train_26598
Grigorovich di-3 is a subclass of Military aircraft,"Grigorovich DI - 3 ( Russian : Григорович ДИ - 3 ) , ( Dvukhmyestnyi Istrebitel - two - seat fighter ) , was a prototype two - seat fighter developed in the Soviet Union in the 1930s . It was intended to be a long - range escort fighter developed from the DI - 2 with improved range and performance comparable to single - seat fighter aircraft of the time . DI - 3 was a single - bay biplane of mixed construction with a twin - rudder tailplane of variable incidence . Although initial tests demonstrated flight characteristics comparable to Polikarpov I - 5 , the addition of armament and operational equipment caused significant degradation in performance and DI - 3 did not enter mass production . The prototype was subsequently fitted with an enclosed cockpit and used as a VIP transport .","The Polikarpov I-5 was a single-seat biplane which became the primary Soviet fighter between its introduction in 1931 through 1936, after which it became the standard advanced trainer. Following Operation Barbarossa, which destroyed much of the Soviet Air Forces (VVS), surviving I-5s were equipped with four machine guns and bomb racks and pressed into service as light ground-attack aircraft and night bombers in 1941. They were retired in early 1942 as Soviet aircraft production began to recover and modern ground-attack aircraft like the Ilyushin Il-2 became available. A total of 803 built (including 3 prototypes).","The Ilyushin Il-2 (Cyrillic: Илью́шин Ил-2) Sturmovik was a ground-attack aircraft (Cyrillic: Штурмови́к, 'Šturmovík') produced by the Soviet Union in large numbers during the Second World War. With 36,183 units of the Il-2 produced during the war, and in combination with its successor, the Ilyushin Il-10, a total of 42,330 were built, making it the single most produced military aircraft design in aviation history, as well as one of the most produced piloted aircraft in history along with the American postwar civilian Cessna 172 and the Soviet Union's own then-contemporary Polikarpov Po-2 'Kukuruznik' multipurpose biplane.",likely,qualified_guess,Grigorovich di-3 is comparable to Polikarpov I - 5,"Although initial tests demonstrated flight characteristics comparable to Polikarpov I - 5 , the addition of armament and operational equipment caused significant degradation in performance and DI - 3 did not enter mass production .",Polikarpov I - 5 was retired and Ilyushin Il-2 became available,They were retired in early 1942 as Soviet aircraft production began to recover and modern ground-attack aircraft like the Ilyushin Il-2 became available.,Ilyushin Il-2 successor the Ilyushin Il-10 is a military aircraft,"With 36,183 units of the Il-2 produced during the war, and in combination with its successor, the Ilyushin Il-10, a total of 42,330 were built, making it the single most produced military aircraft design in aviation history, as well as one of the most produced piloted aircraft in history along with the American postwar civilian Cessna 172 and the Soviet Union's own then-contemporary Polikarpov Po-2 'Kukuruznik' multipurpose biplane.",1322,WH_train_32071
Bruce greenwald's occupation is Economist,"Bruce Corman Norbert Greenwald ( born August 15 , 1946 ) , is a professor at Columbia University 's Graduate School of Business and Director of Research at FirstEagle Funds . He is , among others , the author of the books Value Investing : from Graham to Buffett and Beyond and Competition Demystified : A Radically Simplified Approach to Business Strategy . He has been referred to by The New York Times as `` a guru to Wall Street 's gurus '' and is a recognized authority on value investing , along with additional expertise in productivity and the economics of information .","Value investing is an investment paradigm that derives from the ideas on investment that Ben Graham and David Dodd began teaching at Columbia Business School in 1928 and subsequently developed in their 1934 text 'Security Analysis'. Although value investing has taken many forms since its inception, it generally involves buying securities that appear underpriced by some form of fundamental analysis. As examples, such securities may be stock in public companies that trade at discounts to book value or tangible book value, have high dividend yields, have low price-to-earning multiples or have low price-to-book ratios.","David LeFevre Dodd (August 23, 1895 – September 18, 1988) was an American educator, financial analyst, author, economist, professional investor, and in his student years, a '' of, and as a postgraduate, close colleague of Benjamin Graham at Columbia Business School.",likely,qualified_guess,"Bruce Greenwald is a recognized authority on value investing , along with and the economics of information .","He has been referred to by The New York Times as `` a guru to Wall Street 's gurus '' and is a recognized authority on value investing , along with additional expertise in productivity and the economics of information .",NA,NA,,NA,1164,WH_train_27904
Dimiter gotscheff's occupation is Theatre director,"Dimiter Gotscheff ( Bulgarian : Димитър Гочев ; born 26 April 1943 in Parvomai , Bulgaria ; died 20 October 2013 in Berlin ) was a Bulgarian - born German theater director . His work is often associated with dramatist and director Heiner Müller .","Heiner Müller (January 9, 1929 – December 30, 1995) was a German (formerly East German) dramatist, poet, writer, essayist and theatre director. Described as 'the theatre's greatest living poet' since Samuel Beckett, Müller is arguably the most important German dramatist of the 20th century after Bertolt Brecht. His 'enigmatic, fragmentary pieces' are a significant contribution to postmodern drama and postdramatic theatre.",,TRUE,cf,dimiter gotscheff was a bulgarian - born german theater director .,"Dimiter Gotscheff ( Bulgarian : Димитър Гочев ; born 26 April 1943 in Parvomai , Bulgaria ; died 20 October 2013 in Berlin ) was a Bulgarian - born German theater director .",,NA,,,1296,WH_train_37134
Venetian ghetto is located in Venetian lagoon,"The Venetian Ghetto was the area of Venice in which Jews were compelled to live under the Venetian Republic . It is from its name in Italian ( `` ghetto '' ) , that the English word `` ghetto '' is derived : in the Venetian language it was named `` ghèto '' . The Venetian Ghetto ( incidentally , the first Ghetto ) was instituted in 1516 , though political restrictions on Jewish rights and residences existed before that date .","A ghetto is a part of a city in which members of a minority group live, especially because of social, legal, or economic pressure. The term was originally used in Venice to describe the part of the city to which Jews were restricted and segregated. The term has been applied in various contexts.","Venice (; ) is a city in northeastern Italy and the capital of the Veneto region. It is situated across a group of 117 small islands that are separated by canals and linked by bridges. These are located in the shallow Venetian Lagoon, an enclosed bay that lies between the mouths of the Po and the Piave Rivers. Parts of Venice are renowned for the beauty of their settings, their architecture, and artwork. The lagoon and a part of the city are listed as a World Heritage Site.",TRUE,verycf,The Venetian Ghetto is in Venice,The Venetian Ghetto was the area of Venice in which Jews were compelled to live under the Venetian Republic .,NA,NA,It is located in the Venetian Lagoon,"These are located in the shallow Venetian Lagoon, an enclosed bay that lies between the mouths of the Po and the Piave Rivers.",1393,WH_train_3394
Francis schuckardt's occupation is Priest,"Francis Konrad Schuckardt ( July 10 , 1937 -- November 5 , 2006 ) was an American Traditionalist Catholic independent bishop and the first known bishop of the sedevacantist movement in the United States . Sedevacantism holds that Pope Paul VI -- sometimes going back to include John XXIII -- and his successors are not valid Popes . Schuckardt founded the Congregation of Mary Immaculate Queen ( CMRI ) and the Tridentine Latin Rite Catholic Church ( TLRCC ) .","Pope Paul VI, born Giovanni Battista Enrico Antonio Maria Montini (26 September 1897 – 6 August 1978), reigned as Pope from 21 June 1963 to his death in 1978. Succeeding Pope John XXIII, he continued the Second Vatican Council which he closed in 1965, implementing its numerous reforms, and fostered improved ecumenical relations with Eastern Orthodox and Protestants, which resulted in many historic meetings and agreements. Montini served in the Vatican's Secretariat of State from 1922 to 1954. While in the Secretariat of State, Montini and Domenico Tardini were considered as the closest and most influential colleagues of Pope Pius XII, who in 1954 named him Archbishop of Milan, the largest Italian diocese. Montini later became the Secretary of the Italian Bishops Conference. John XXIII elevated him to the College of Cardinals in 1958, and after the death of John XXIII, Montini was considered one of his most likely successors.","Pope Saint John XXIII (born Angelo Giuseppe Roncalli, ; 25 November 18813 June 1963) reigned as Pope from 28 October 1958 to his death in 1963 and was canonized on 27 April 2014. Angelo Giuseppe Roncalli was the fourth of fourteen children born to a family of sharecroppers who lived in a village in Lombardy. He was ordained to the priesthood on 10 August 1904 and served in a number of posts, including papal nuncio in France and a delegate to Bulgaria, Greece and Turkey. In a consistory on 12 January 1953 Pope Pius XII made Roncalli a cardinal as the Cardinal-Priest of Santa Prisca in addition to naming him as the Patriarch of Venice.",TRUE,verycf,Francis schuckardt was a Catholic independent bishop,"Francis Konrad Schuckardt ( July 10 , 1937 -- November 5 , 2006 ) was an American Traditionalist Catholic independent bishop and the first known bishop of the sedevacantist movement in the United States .",NA,NA,,NA,1332,WH_train_11863
Dragon ball gt: final bout is published by Bandai namco holdings,"Dragon Ball GT : Final Bout , known in Japan and Europe as Dragon Ball : Final Bout ( ドラゴンボール ファイナルバウト Doragon Bōru Fainaru Bauto ) , is a fighting game for the PlayStation . It was produced and released by Bandai in Japan , parts of Europe , and North America in 1997 . The game was reissued in Europe in 2002 and in North America in 2004 . The game shares the distinction of being the first game in the series to be rendered in full 3D , and the last Dragon Ball game produced for the console . There would not be another new Dragon Ball game for consoles until the release of Dragon Ball Z : Budokai in 2002 .","After its merger with game developer and amusement facility operator Namco, Bandai Company, Limited is now under the management of Bandai Namco Holdings and a member of Bandai Namco Group. After group reorganisation in 2006, Bandai heads the group's Toys and Hobby Strategic Business Unit (SBU).",,TRUE,cf,Dragon ball gt: final bout was released by Bandai in 1997.,"It was produced and released by Bandai in Japan , parts of Europe , and North America in 1997 .","Bandai Company, Limited is under the management of Bandai Namco Holdings.","After its merger with game developer and amusement facility operator Namco, Bandai Company, Limited is now under the management of Bandai Namco Holdings and a member of Bandai Namco Group.",,,1303,WH_train_4162
